material,acido_ascorbico,agua_desionizada,amoniaco_25,aq_save,arianor_cherry_red_vibracolor_ruby_red,astrophos_hc2,azul_ultramar_b_6554,chematek_code_00302_jacorol_ahp,cire_de_lanol_sinnowax_ao,colorante_2a3hp,genencare_osms_ba_betafin_bp,h.c._yellow_2,h.c._yellow_4,jarocol_mbb,lowacryl_orange_31,merquat_280_safiquat_22,monoetanolamina_99__purete,nafol_16_18_lanette_o,perfume_bamboo_lotus_flower_2048692,perfume_xanadu,propilenglicol,rodol_24dape_chematek_00326,rodol_2_mr_chematek_code_00102,rodol_6amc_chematek_00269,rodol_6cp_chematek_00235,rodol_9r,rodol_blfx_bondecolor_blfx,rodol_eg_jarocol_map,rodol_ern_colorex_1_nap,rodol_gray_hed__jarocol_bhp,rodol_p_base_ot,rodol_paoc_chematek_00216,rodol_paox_colorex_paox,rodol_pmp_jarocol_pmp,rodol_rs_jarocol_rl,rodol_xdat,sodio_sulfito_anhidro,structure_zea_starch,transcutol_cg,utmf_ceramide_iii_silicon_free
626175,4.0,565.098,71.862,1,0.0,30,0.0,0.0,180,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,1.24,0.0,9.0,1.35,0.0,0.0,0.0,9.45,0,10.0,30,15,0.0
626205,4.0,633.178,75.862,0,0.0,0,0.0,0.0,140,0,0,0.0,0.0,0.0,0.0,25,0,20,0,0.0,0,0.0,0.0,0.0,0.0,0.18,3.2,0.0,0.16,0.32,0.2,0.0,0.0,0.0,2.4,0,5.0,30,15,0.0
626305,4.0,577.138,71.862,1,0.0,30,0.0,0.0,150,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,5.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,10.0,0.0,0.0,0.0,3.0,0,7.5,30,30,0.0
626405,4.0,594.138,71.862,1,0.0,30,0.0,0.0,160,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,0.0,6.2,3.6,1.7,1.0,0.0,0,10.0,30,15,0.0
626445,4.0,593.638,75.862,0,0.0,0,0.0,0.0,160,0,0,0.0,0.0,0.0,0.0,25,0,25,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,0.0,6.2,3.6,1.7,1.0,0.0,0,10.0,30,15,0.0
626455,4.0,513.238,75.862,0,0.0,0,0.0,0.0,200,0,0,0.0,0.0,0.0,0.0,25,0,30,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.6,6.8,5.0,0.0,18.6,11.4,0.0,0.0,5.0,0,10.0,30,15,0.0
626495,4.0,529.438,75.862,0,0.0,0,0.0,0.0,200,0,0,0.0,0.0,0.0,0.0,25,0,30,0,0.0,0,0.0,1.5,0.0,6.0,3.0,0.0,0.0,0.0,0.0,12.5,8.2,0.0,4.0,0.0,0,10.0,30,15,0.0
626555,4.0,557.438,71.862,1,0.0,30,0.0,15.0,180,0,0,0.0,0.0,0.0,0.0,25,0,30,8,0.0,0,5.6,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.5,30,15,0.0
626575,4.0,591.938,75.862,0,0.0,0,0.0,15.0,150,0,0,0.0,0.0,0.0,0.0,25,0,30,0,0.0,0,5.6,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.5,30,15,0.0
626585,4.0,592.938,75.862,0,0.0,0,0.0,15.0,150,0,0,0.0,0.0,0.0,0.0,25,0,30,0,0.0,0,1.7,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0,7.5,30,15,0.0
626595,4.0,552.638,71.862,1,0.0,30,0.0,12.5,180,0,0,0.0,0.0,0.0,0.0,25,0,30,8,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0,9.0,30,15,0.0
626605,4.0,567.698,71.862,1,0.0,30,0.0,0.0,180,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,5.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,2.5,4.44,0,7.5,20,15,0.0
626615,4.0,495.538,71.862,1,0.0,30,0.0,0.0,200,0,0,0.0,0.0,0.0,0.0,25,0,30,8,0.0,0,0.0,10.0,0.0,0.0,0.0,17.0,1.4,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0,7.5,30,50,0.0
626655,4.0,539.638,71.862,1,0.0,30,0.0,0.0,200,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,8.0,0.0,0.0,0.0,9.0,6.0,0.0,0.0,4.0,1.0,0.0,2.5,0.0,0,10.0,30,15,0.0
626665,4.0,488.638,71.862,1,0.0,30,0.0,0.0,200,0,0,0.0,0.0,0.0,0.0,25,0,30,8,0.0,0,0.0,10.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,0,10.0,30,50,0.0
626955,4.0,556.138,71.862,1,0.0,30,0.0,15.0,180,0,0,0.0,0.0,0.0,0.0,25,0,30,8,0.0,0,1.7,0.0,0.0,0.0,0.0,0.0,5.2,1.4,0.0,0.0,1.2,0.0,0.0,0.0,0,9.5,30,15,0.0
626995,4.0,549.438,71.862,1,0.0,30,0.0,15.0,190,0,0,0.0,0.0,0.0,0.0,25,0,30,8,0.0,0,0.0,0.0,0.0,3.6,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.5,30,15,0.0
627005,4.0,592.238,71.862,1,0.0,30,0.0,0.0,160,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.2,6.0,0.0,0.0,0.0,9.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,10.0,30,15,0.0
627065,4.0,583.388,71.862,1,0.0,30,0.0,0.0,170,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.3,5.9,0.0,0.0,0.0,7.0,1.35,0.0,0.0,2.2,0.0,0.0,1.0,0.0,0,9.0,30,15,0.0
627085,4.0,536.588,71.862,1,0.0,30,0.0,0.0,200,0,0,0.0,0.0,0.0,0.0,25,0,30,8,0.0,0,0.3,8.0,0.0,0.0,0.0,12.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0,10.0,30,15,0.0
627125,4.0,603.627,71.862,1,0.0,30,0.0,0.0,140,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,1.711,0.0,0.0,0.0,3.73,0.64,0.0,4.89,0.0,0.106,0.0,0.0,2.934,0,7.5,30,30,0.0
627135,4.0,626.458,71.862,1,0.0,30,0.0,0.0,140,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,0.0,0.0,0.0,0.0,2.4,0.08,0.24,2.2,0.36,0.0,0.0,0.0,3.4,0,5.0,30,15,0.0
627175,4.0,618.723,71.862,1,0.0,30,0.0,0.0,140,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,0.0,0.0,0.0,0.0,2.225,0.69,0.0,5.0,0.75,0.0,0.0,0.0,5.25,0,7.5,30,15,0.0
627305,4.0,605.838,71.862,1,0.0,30,0.0,0.0,140,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,2.4,0.0,0.0,0.0,2.4,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0,7.0,30,30,0.0
627325,4.0,605.738,71.862,1,0.0,30,0.0,0.0,140,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,3.1,0.0,0.0,0.0,4.0,1.0,0.0,1.0,5.0,0.3,0.0,0.0,0.0,0,5.0,30,30,0.0
